Date,ITO,DTU,Sirifort,Shadipur,Dwarka,IHBAS,RKPuram,Mandir Marg,Punjabi bagh,Anand Vihar,Aya Nagar,IGI Airport-3,Burari Crossing,Pusa IMD
01-04-2018,1,0,0,0,1,1,1,0,1,1,1,0,1,0
02-04-2018,1,1,1,1,1,1,1,1,1,1,1,0,1,0
03-04-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04-04-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,0
05-04-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06-04-2018,1,1,1,1,1,1,1,1,1,1,1,0,1,0
07-04-2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0
08-04-2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0
09-04-2018,0,0,0,1,1,0,1,0,0,0,1,0,1,0
10-04-2018,1,1,0,1,1,1,1,1,1,1,1,0,1,0
11-04-2018,0,0,0,0,0,1,1,0,0,0,0,0,1,0
12-04-2018,0,0,0,1,0,1,1,0,0,1,0,0,1,0
13-04-2018,1,1,1,1,1,1,1,1,1,1,0,0,1,0
14-04-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,0
15-04-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,0
16-04-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17-04-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18-04-2018,0,1,1,1,1,1,1,1,1,1,1,0,1,0
19-04-2018,1,1,1,1,1,1,1,1,1,1,1,0,1,0
20-04-2018,1,1,1,1,1,1,1,1,1,1,0,0,1,1
21-04-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1
22-04-2018,0,0,0,0,1,1,1,1,1,1,0,0,1,0
23-04-2018,0,1,0,1,1,1,1,1,1,1,1,0,1,0
24-04-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25-04-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26-04-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27-04-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28-04-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29-04-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1
30-04-2018,1,1,1,1,1,1,1,1,1,1,1,1,0,0
01-05-2018,0,1,1,0,1,0,0,1,0,0,1,0,1,0
02-05-2018,0,0,1,1,1,1,1,1,1,0,1,0,1,0
03-05-2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0
04-05-2018,0,0,0,0,0,0,1,0,0,0,1,0,1,0
05-05-2018,1,1,1,1,1,1,1,1,1,1,1,0,1,1
06-05-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07-05-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08-05-2018,0,0,0,1,1,1,1,0,0,1,0,0,1,0
09-05-2018,0,1,0,1,1,1,1,1,1,1,0,0,1,0
10-05-2018,1,1,1,1,1,1,1,1,1,1,1,1,0,1
11-05-2018,1,1,1,1,1,1,1,1,1,1,1,1,0,1
12-05-2018,1,1,1,1,1,1,1,1,1,1,1,1,0,1
13-05-2018,1,0,0,1,1,1,1,1,1,1,1,1,1,1
14-05-2018,0,0,0,0,0,0,0,0,0,0,1,0,1,0
15-05-2018,0,0,0,1,1,1,1,1,1,1,1,0,1,0
16-05-2018,0,0,1,1,1,1,1,1,1,1,0,0,1,1
17-05-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18-05-2018,1,1,1,1,1,1,1,1,1,1,1,0,1,0
19-05-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,0
20-05-2018,1,1,1,1,1,1,1,1,1,1,0,0,1,1
21-05-2018,0,1,0,1,1,1,1,1,1,1,1,0,1,1
22-05-2018,0,1,1,1,1,1,1,1,1,1,1,0,1,1
23-05-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24-05-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,0
25-05-2018,0,1,1,1,1,1,1,0,1,1,1,0,1,0
26-05-2018,0,1,1,1,1,1,1,1,1,1,1,1,1,1
27-05-2018,0,1,1,1,1,1,1,1,1,1,1,0,1,1
28-05-2018,1,1,1,1,1,1,1,1,1,1,1,1,1,0
29-05-2018,1,1,1,1,1,1,1,1,0,1,1,0,1,0
30-05-2018,1,0,0,1,1,1,1,0,1,0,1,0,1,0
31-05-2018,1,1,1,1,1,1,1,1,1,1,0,0,1,0
01-06-2018,1,1,1,1,1,1,1,1,0,1,1,0,1,1
02-06-2018,1,0,0,0,1,0,1,0,1,0,1,0,1,0
03-06-2018,1,0,0,0,1,0,1,0,0,0,1,0,1,0
04-06-2018,1,0,0,0,0,1,1,0,0,0,0,0,1,0
05-06-2018,1,0,0,0,1,0,1,0,1,0,1,0,1,0
06-06-2018,1,0,0,0,1,0,1,0,1,1,1,0,1,0
07-06-2018,1,1,0,0,1,1,1,1,0,1,1,0,1,0
08-06-2018,1,1,1,0,1,1,1,1,0,1,1,0,1,0
09-06-2018,1,0,0,0,1,0,1,0,1,0,1,0,1,0
10-06-2018,1,1,0,0,1,1,1,0,1,1,1,0,1,1
11-06-2018,1,1,1,1,1,1,0,1,1,1,1,0,1,1
12-06-2018,1,1,1,1,1,1,1,1,1,1,1,1,0,1
13-06-2018,1,1,1,1,1,1,1,1,1,1,1,1,0,1
14-06-2018,1,1,1,1,1,1,1,1,1,1,1,1,0,1
15-06-2018,1,1,1,1,1,1,1,1,1,1,0,1,0,1
16-06-2018,1,1,1,1,1,1,1,1,0,1,1,0,1,1
17-06-2018,1,1,1,1,1,1,1,1,0,1,1,0,1,1
18-06-2018,1,0,0,1,1,1,0,0,1,1,1,0,1,0
19-06-2018,1,0,0,0,1,0,0,0,1,1,0,0,1,1
20-06-2018,1,0,0,1,1,1,1,1,1,1,1,0,1,1
21-06-2018,1,1,1,1,1,1,0,0,1,1,1,0,1,1
22-06-2018,1,1,1,1,1,1,1,1,0,1,1,0,1,1
23-06-2018,1,1,1,1,1,1,1,1,0,1,1,1,1,1
24-06-2018,1,0,0,0,1,1,1,0,0,1,1,0,1,0
25-06-2018,1,0,0,1,1,1,0,0,0,0,1,0,1,1
26-06-2018,1,0,0,1,1,1,0,0,0,1,1,0,1,0
27-06-2018,1,0,0,0,0,1,0,0,0,1,1,0,1,0
28-06-2018,0,0,0,0,0,0,0,0,0,1,1,0,1,0
29-06-2018,0,0,0,0,0,0,0,0,0,1,1,0,1,0
30-06-2018,0,0,0,1,0,0,0,0,0,1,0,0,1,1
